variable,label,dtype,semantic_type,non_null,missing_pct,unique,min,max,example_values
VMONTH,,float64,numeric,16025,0.0,12,1.0,12.0,"9.0, 10.0, 8.0, 11.0, 1.0"
VDAYR,,float64,numeric,16025,0.0,7,1.0,7.0,"2.0, 3.0, 4.0, 5.0, 6.0"
WAITTIME,,float64,numeric,13272,17.1794,396,0.0,1280.0,"10.0, 40.0, 70.0, 14.0, 2.0"
LOV,,float64,numeric,15328,4.3495,1435,0.0,5722.0,"228.0, 319.0, 551.0, 168.0, 113.0"
AGE,,float64,numeric,16025,0.0,95,0.0,94.0,"23.0, 15.0, 19.0, 0.0, 18.0"
AGER,,float64,numeric,16025,0.0,6,1.0,6.0,"2.0, 1.0, 3.0, 4.0, 5.0"
AGEDAYS,,float64,numeric,428,97.3292,243,1.0,364.0,"298.0, 198.0, 153.0, 351.0, 55.0"
RESIDNCE,,float64,numeric,15763,1.6349,4,1.0,4.0,"1.0, 3.0, 4.0, 2.0"
SEX,,float64,numeric,16025,0.0,2,1.0,2.0,"1.0, 2.0"
ETHUN,,float64,numeric,13692,14.5585,2,1.0,2.0,"2.0, 1.0"
ETHIM,,float64,numeric,16025,0.0,2,1.0,2.0,"2.0, 1.0"
RACEUN,,float64,numeric,13003,18.858,6,1.0,6.0,"1.0, 3.0, 2.0, 6.0, 5.0"
RACER,,float64,numeric,16025,0.0,3,1.0,3.0,"1.0, 3.0, 2.0"
RACERETH,,float64,numeric,16025,0.0,4,1.0,4.0,"1.0, 4.0, 3.0, 2.0"
ARREMS,,float64,numeric,15530,3.0889,2,1.0,2.0,"2.0, 1.0"
AMBTRANSFER,,float64,numeric,2388,85.0983,2,1.0,2.0,"2.0, 1.0"
NOPAY,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYPRIV,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYMCARE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYMCAID,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYWKCMP,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYSELF,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYNOCHG,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYOTH,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYDK,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
PAYTYPER,,float64,numeric,14288,10.8393,7,1.0,7.0,"5.0, 3.0, 1.0, 2.0, 6.0"
TEMPF,,float64,numeric,15088,5.8471,112,896.0,1056.0,"984.0, 983.0, 987.0, 985.0, 986.0"
PULSE,,float64,numeric,15060,6.0218,186,0.0,998.0,"72.0, 67.0, 79.0, 146.0, 97.0"
RESPR,,float64,numeric,15169,5.3417,88,0.0,150.0,"16.0, 18.0, 21.0, 20.0, 38.0"
BPSYS,,float64,numeric,14303,10.7457,189,0.0,289.0,"104.0, 105.0, 144.0, 114.0, 121.0"
BPDIAS,,float64,numeric,14272,10.9392,128,0.0,998.0,"66.0, 67.0, 82.0, 63.0, 74.0"
POPCT,,float64,numeric,15056,6.0468,56,0.0,100.0,"72.0, 96.0, 79.0, 99.0, 100.0"
IMMEDR,,float64,numeric,11873,25.9095,7,0.0,7.0,"3.0, 0.0, 2.0, 5.0, 4.0"
PAINSCALE,,float64,numeric,8970,44.025,11,0.0,10.0,"0.0, 5.0, 3.0, 8.0, 9.0"
SEEN72,,float64,numeric,14308,10.7145,2,1.0,2.0,"2.0, 1.0"
RFV1,,float64,numeric,16000,0.156,517,10050.0,89990.0,"15451.0, 15250.0, 12601.0, 14000.0, 17600.0"
RFV2,,float64,numeric,10220,36.2246,552,10050.0,89990.0,"15300.0, 13050.0, 16450.0, 16800.0, 58050.0"
RFV3,,float64,numeric,6434,59.8502,505,10050.0,89990.0,"12250.0, 10700.0, 15300.0, 14000.0, 58150.0"
RFV4,,float64,numeric,3822,76.1498,442,10050.0,89990.0,"16600.0, 16102.0, 14000.0, 22000.0, 27100.0"
RFV5,,float64,numeric,2106,86.858,351,10050.0,89990.0,"12300.0, 22050.0, 27050.0, 11501.0, 22100.0"
RFV13D,,float64,numeric,16025,0.0,355,0.0,8999.0,"1545.0, 1525.0, 1260.0, 1400.0, 1760.0"
RFV23D,,float64,numeric,16025,0.0,365,0.0,8999.0,"0.0, 1530.0, 1305.0, 1645.0, 1680.0"
RFV33D,,float64,numeric,16025,0.0,351,0.0,8999.0,"0.0, 1225.0, 1070.0, 1530.0, 1400.0"
RFV43D,,float64,numeric,16025,0.0,318,0.0,8999.0,"0.0, 1660.0, 1610.0, 1400.0, 2200.0"
RFV53D,,float64,numeric,16025,0.0,276,0.0,8999.0,"0.0, 1230.0, 2205.0, 2705.0, 1150.0"
EPISODE,,float64,numeric,14424,9.9906,2,1.0,2.0,"2.0, 1.0"
INJURY,,float64,numeric,15030,6.209,3,0.0,2.0,"1.0, 0.0, 2.0"
INJPOISAD,,float64,numeric,15030,6.209,5,1.0,5.0,"3.0, 4.0, 1.0, 2.0, 5.0"
INJURY72,,float64,numeric,3485,78.2527,3,1.0,3.0,"1.0, 2.0, 3.0"
INTENT15,,float64,numeric,4391,72.5991,3,1.0,4.0,"2.0, 1.0, 4.0"
INJURY_ENC,,float64,numeric,3837,76.0562,5,1.0,5.0,"1.0, 2.0, 3.0, 5.0"
CAUSE1,,object,categorical/text,16025,0.0,245,,,"-9, W183, X838, Y998, X501"
CAUSE2,,object,categorical/text,16025,0.0,89,,,"-9, Y936, W19X, Y93H, Y930"
CAUSE3,,object,categorical/text,16025,0.0,32,,,"-9, Y928, Y070, Y922, Y990"
DIAG1,,object,categorical/text,16025,0.0,1549,,,"T833, K297, R000, R059, N898"
DIAG2,,object,categorical/text,16025,0.0,1308,,,"-9, R110, R098, K088, S099"
DIAG3,,object,categorical/text,16025,0.0,989,,,"-9, J069, S025, F251, Z590"
DIAG4,,object,categorical/text,16025,0.0,668,,,"-9, S015, E834, M255, N289"
DIAG5,,object,categorical/text,16025,0.0,466,,,"-9, F039, M255, F259, D509"
PRDIAG1,,float64,numeric,15798,1.4165,2,0.0,1.0,0.0
PRDIAG2,,float64,numeric,8390,47.6443,2,0.0,1.0,"0.0, 1.0"
PRDIAG3,,float64,numeric,4251,73.4727,2,0.0,1.0,"0.0, 1.0"
PRDIAG4,,float64,numeric,2282,85.7598,2,0.0,1.0,"0.0, 1.0"
PRDIAG5,,float64,numeric,1225,92.3557,2,0.0,1.0,"0.0, 1.0"
ETOHAB,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ALZHD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ASTHMA,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CANCER,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CEBVD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CKD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
COPD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CHF,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CAD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DEPRN,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DIABTYP1,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DIABTYP2,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DIABTYP0,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ESRD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
HPE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
EDHIV,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
HYPLIPID,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
HTN,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OBESITY,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OSA,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OSTPRSIS,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
SUBSTAB,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
NOCHRON,,float64,numeric,16025,0.0,3,0.0,2.0,"1.0, 0.0, 2.0"
TOTCHRON,,float64,numeric,15766,1.6162,13,0.0,13.0,"0.0, 2.0, 1.0, 5.0, 3.0"
DIAGSCRN,,float64,numeric,16025,0.0,3,0.0,2.0,"1.0, 0.0, 2.0"
ABG,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
BAC,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
BMP,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
BNP,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
BUNCREAT,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CARDENZ,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CBC,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
CMP,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
BLOODCX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
TRTCX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
URINECX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
WOUNDCX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OTHCX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DDIMER,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ELECTROL,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
GLUCOSE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
LACTATE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
LFT,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PTTINR,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OTHERBLD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CARDMON,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
EKG,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
HIVTEST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
FLUTEST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PREGTEST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
TOXSCREN,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
URINE,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
OTHRTEST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ANYIMAGE,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
XRAY,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CATSCAN,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CTCONTRAST,,float64,numeric,3250,79.7192,2,1.0,2.0,"1.0, 2.0"
CTAB,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CTCHEST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CTHEAD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CTOTHER,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CTUNK,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
MRI,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
MRICONTRAST,,float64,numeric,169,98.9454,2,1.0,2.0,"2.0, 1.0"
ULTRASND,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
OTHIMAGE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
COVIDTEST,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
COVIDANTIBODY,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
TOTDIAG,,float64,numeric,15800,1.4041,22,0.0,22.0,"6.0, 3.0, 0.0, 1.0, 5.0"
PROC,,float64,numeric,16025,0.0,3,0.0,2.0,"0.0, 2.0, 1.0"
BPAP,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
BLADCATH,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CASTSPLINT,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CENTLINE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CPR,,float64,numeric,16025,0.0,2,0.0,1.0,0.0
ENDOINT,,float64,numeric,16025,0.0,2,0.0,1.0,0.0
INCDRAIN,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
IVFLUIDS,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
LUMBAR,,float64,numeric,16025,0.0,2,0.0,1.0,0.0
NEBUTHER,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PELVIC,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
SKINADH,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
SUTURE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OTHPROC,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
TOTPROC,,float64,numeric,15580,2.7769,7,0.0,6.0,"0.0, 1.0, 2.0, 3.0, 4.0"
MED,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
MED1,,float64,numeric,12391,22.6771,905,2.0,99999.0,"61160.0, 95181.0, 32905.0, 3081.0, 4473.0"
MED2,,float64,numeric,9140,42.9641,891,2.0,99999.0,"28495.0, 10181.0, 98109.0, 15005.0, 18215.0"
MED3,,float64,numeric,6316,60.5866,827,2.0,99999.0,"93220.0, 12154.0, 93193.0, 9655.0, 9850.0"
MED4,,float64,numeric,4254,73.454,736,2.0,99999.0,"92141.0, 15395.0, 12865.0, 93237.0, 92122.0"
MED5,,float64,numeric,2876,82.053,674,2.0,99999.0,"32905.0, 92105.0, 18555.0, 15600.0, 14840.0"
MED6,,float64,numeric,1994,87.5569,590,2.0,99999.0,"4473.0, 97126.0, 20290.0, 15005.0, 1282.0"
MED7,,float64,numeric,1455,90.9204,529,2.0,99999.0,"93352.0, 12028.0, 21160.0, 12034.0, 28495.0"
MED8,,float64,numeric,1067,93.3417,468,36.0,99224.0,"91096.0, 3081.0, 97002.0, 2805.0, 17485.0"
MED9,,float64,numeric,832,94.8081,411,4.0,99999.0,"94004.0, 98109.0, 96027.0, 28495.0, 260.0"
MED10,,float64,numeric,646,95.9688,362,42.0,99999.0,"15395.0, 16975.0, 99207.0, 93220.0, 28495.0"
MED11,,float64,numeric,536,96.6552,311,4.0,99999.0,"8552.0, 8678.0, 19840.0, 4307.0, 1282.0"
MED12,,float64,numeric,460,97.1295,264,36.0,99224.0,"4307.0, 8341.0, 28495.0, 17370.0, 7688.0"
MED13,,float64,numeric,387,97.585,245,4.0,99224.0,"9722.0, 8552.0, 16221.0, 1266.0, 12029.0"
MED14,,float64,numeric,324,97.9782,223,4.0,99999.0,"8090.0, 2805.0, 3272.0, 97073.0, 93396.0"
MED15,,float64,numeric,272,98.3027,199,13.0,99224.0,"93202.0, 12202.0, 95133.0, 92120.0, 8066.0"
MED16,,float64,numeric,224,98.6022,164,4.0,99999.0,"99999.0, 213.0, 92164.0, 16299.0, 2037.0"
MED17,,float64,numeric,191,98.8081,141,42.0,99999.0,"41830.0, 176.0, 3272.0, 24765.0, 93371.0"
MED18,,float64,numeric,155,99.0328,121,42.0,99999.0,"94104.0, 92141.0, 95133.0, 98093.0, 19840.0"
MED19,,float64,numeric,123,99.2324,100,42.0,99090.0,"16139.0, 14840.0, 1266.0, 4307.0, 33573.0"
MED20,,float64,numeric,108,99.3261,93,42.0,99224.0,"8006.0, 41315.0, 15395.0, 35250.0, 23585.0"
MED21,,float64,numeric,80,99.5008,69,76.0,99101.0,"4307.0, 16020.0, 23585.0, 35260.0, 11228.0"
MED22,,float64,numeric,63,99.6069,57,42.0,99999.0,"96095.0, 91000.0, 94081.0, 4059.0, 93193.0"
MED23,,float64,numeric,54,99.663,46,42.0,99133.0,"94188.0, 99133.0, 31455.0, 5405.0, 1022.0"
MED24,,float64,numeric,37,99.7691,35,1050.0,97136.0,"2805.0, 35250.0, 14006.0, 19635.0, 4059.0"
MED25,,float64,numeric,29,99.819,27,1022.0,99123.0,"99033.0, 9175.0, 21160.0, 19840.0, 16367.0"
MED26,,float64,numeric,20,99.8752,20,213.0,99033.0,"11197.0, 213.0, 93211.0, 91069.0, 99033.0"
MED27,,float64,numeric,14,99.9126,12,3905.0,98046.0,"10251.0, 24590.0, 17888.0, 93396.0, 21160.0"
MED28,,float64,numeric,12,99.9251,11,8161.0,96125.0,"8161.0, 13161.0, 21160.0, 92141.0, 28495.0"
MED29,,float64,numeric,5,99.9688,5,7332.0,98139.0,"98139.0, 22305.0, 7332.0, 9481.0, 9995.0"
GPMED1,,float64,numeric,12300,23.2449,3,1.0,3.0,"2.0, 3.0, 1.0"
GPMED2,,float64,numeric,9033,43.6318,3,1.0,3.0,"1.0, 2.0, 3.0"
GPMED3,,float64,numeric,6197,61.3292,3,1.0,3.0,"1.0, 2.0, 3.0"
GPMED4,,float64,numeric,4127,74.2465,3,1.0,3.0,"1.0, 2.0, 3.0"
GPMED5,,float64,numeric,2750,82.8393,3,1.0,3.0,"1.0, 2.0, 3.0"
GPMED6,,float64,numeric,1873,88.312,3,1.0,3.0,"1.0, 2.0, 3.0"
GPMED7,,float64,numeric,1339,91.6443,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED8,,float64,numeric,967,93.9657,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED9,,float64,numeric,740,95.3822,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED10,,float64,numeric,560,96.5055,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED11,,float64,numeric,460,97.1295,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED12,,float64,numeric,389,97.5725,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED13,,float64,numeric,323,97.9844,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED14,,float64,numeric,269,98.3214,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED15,,float64,numeric,225,98.5959,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED16,,float64,numeric,183,98.858,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED17,,float64,numeric,157,99.0203,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED18,,float64,numeric,129,99.195,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED19,,float64,numeric,100,99.376,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED20,,float64,numeric,91,99.4321,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED21,,float64,numeric,65,99.5944,2,1.0,2.0,"1.0, 2.0"
GPMED22,,float64,numeric,52,99.6755,2,1.0,2.0,"1.0, 2.0"
GPMED23,,float64,numeric,47,99.7067,3,1.0,3.0,"1.0, 2.0, 3.0"
GPMED24,,float64,numeric,35,99.7816,3,1.0,3.0,"2.0, 1.0, 3.0"
GPMED25,,float64,numeric,26,99.8378,2,1.0,2.0,"2.0, 1.0"
GPMED26,,float64,numeric,19,99.8814,2,1.0,2.0,"2.0, 1.0"
GPMED27,,float64,numeric,13,99.9189,2,1.0,2.0,"2.0, 1.0"
GPMED28,,float64,numeric,12,99.9251,2,1.0,2.0,"2.0, 1.0"
NUMGIV,,float64,numeric,16025,0.0,28,0.0,28.0,"5.0, 2.0, 0.0, 1.0, 3.0"
NUMDIS,,float64,numeric,16025,0.0,30,0.0,30.0,"2.0, 3.0, 0.0, 1.0, 4.0"
NUMMED,,float64,numeric,16025,0.0,31,0.0,30.0,"7.0, 3.0, 1.0, 0.0, 2.0"
VITALSD,,float64,numeric,15559,2.908,2,1.0,2.0,"1.0, 2.0"
TEMPDF,,float64,numeric,4756,70.3214,85,800.0,1040.0,"989.0, 976.0, 987.0, 986.0, 984.0"
PULSED,,float64,numeric,7007,56.2746,155,0.0,998.0,"81.0, 76.0, 105.0, 107.0, 151.0"
RESPRD,,float64,numeric,6772,57.741,76,0.0,139.0,"118.0, 17.0, 18.0, 20.0, 38.0"
BPSYSD,,float64,numeric,6691,58.2465,155,0.0,248.0,"143.0, 106.0, 136.0, 114.0, 121.0"
BPDIASD,,float64,numeric,6686,58.2777,106,0.0,156.0,"83.0, 60.0, 85.0, 63.0, 74.0"
NOPROVID,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ATTPHYS,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
RESINT,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CONSULT,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
RNLPN,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
NURSEPR,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PHYSASST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
EMT,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
MHPROV,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OTHPROV,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
NODISP,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
NOFU,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
RETRNED,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
RETREFFU,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
LWBS,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
LBTC,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
LEFTAMA,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DOA,,float64,numeric,16025,0.0,2,0.0,1.0,0.0
DIEDED,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
TRANNH,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
TRANPSYC,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
TRANOTH,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ADMITHOS,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OBSHOS,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OBSDIS,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OTHDISP,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ADMIT,,float64,numeric,1811,88.6989,6,1.0,6.0,"6.0, 3.0, 4.0, 5.0, 1.0"
ADMTPHYS,,float64,numeric,1605,89.9844,2,1.0,2.0,"1.0, 2.0"
LOS,,float64,numeric,2023,87.376,54,1.0,99.0,"17.0, 1.0, 2.0, 3.0, 10.0"
HDDIAG1,,object,categorical/text,16025,0.0,597,,,"-7, R99-, R531, D649, J810"
HDDIAG2,,object,categorical/text,16025,0.0,320,,,"-7, -9, R418, R538, Z718"
HDDIAG3,,object,categorical/text,16025,0.0,213,,,"-7, -9, R060, I10-, D739"
HDDIAG4,,object,categorical/text,16025,0.0,127,,,"-7, -9, I10-, R110, E349"
HDDIAG5,,object,categorical/text,16025,0.0,71,,,"-7, -9, E041, I679, J452"
HDSTAT,,float64,numeric,2070,87.0827,2,1.0,2.0,"2.0, 1.0"
ADISP,,float64,numeric,1978,87.6568,4,1.0,4.0,"3.0, 1.0, 2.0, 4.0"
OBSSTAY,,float64,numeric,325,97.9719,291,0.0,7397.0,"52.0, 47.0, 968.0, 141.0, 148.0"
STAY24,,float64,numeric,16025,0.0,3,1.0,3.0,"2.0, 3.0, 1.0"
AGEFL,,float64,numeric,16023,0.0125,2,0.0,1.0,"0.0, 1.0"
BDATEFL,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
SEXFL,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ETHNICFL,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
RACERFL,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
HOSPCODE,,float64,numeric,16025,0.0,188,1.0,188.0,"34.0, 16.0, 13.0, 15.0, 14.0"
PATCODE,,float64,numeric,16025,0.0,173,1.0,173.0,"1.0, 2.0, 3.0, 4.0, 5.0"
EMRED,,float64,numeric,15669,2.2215,2,1.0,2.0,1.0
HHSMUE,,float64,numeric,15577,2.7956,2,1.0,2.0,1.0
EHRINSE,,float64,numeric,15522,3.1388,3,1.0,3.0,"2.0, 1.0"
EDPRIM,,float64,numeric,14348,10.4649,4,1.0,4.0,"1.0, 2.0"
EDINFO,,float64,numeric,14656,8.5429,2,1.0,2.0,"2.0, 1.0"
OBSCLIN,,float64,numeric,15078,5.9095,2,1.0,2.0,"1.0, 2.0"
OBSSEP,,float64,numeric,6779,57.6973,2,1.0,2.0,"2.0, 1.0"
OBSPHYSED,,float64,numeric,6938,56.7051,2,0.0,1.0,"1.0, 0.0"
OBSHOSP,,float64,numeric,6938,56.7051,2,0.0,1.0,"0.0, 1.0"
OBSPHYSOT,,float64,numeric,6938,56.7051,2,0.0,1.0,"0.0, 1.0"
OBSPHYSUN,,float64,numeric,6938,56.7051,2,0.0,1.0,"0.0, 1.0"
BOARD,,float64,numeric,15332,4.3245,2,1.0,2.0,"1.0, 2.0"
BOARDHOS,,float64,numeric,14918,6.908,2,1.0,2.0,"1.0, 2.0"
AMBDIV,,float64,numeric,14036,12.4119,2,1.0,2.0,"2.0, 1.0"
TOTHRDIVR,,float64,numeric,5539,65.4353,3,2.0,4.0,"3.0, 4.0, 2.0"
REGDIV,,float64,numeric,7037,56.0874,2,1.0,2.0,"1.0, 2.0"
ADMDIV,,float64,numeric,7198,55.0827,2,1.0,2.0,"1.0, 2.0"
INCSHX,,float64,numeric,15595,2.6833,2,1.0,2.0,"1.0, 2.0"
INCPHYS,,float64,numeric,15310,4.4618,2,1.0,2.0,"2.0, 1.0"
EXPSPACE,,float64,numeric,14670,8.4555,2,1.0,2.0,"2.0, 1.0"
BEDREG,,float64,numeric,15307,4.4805,2,1.0,2.0,1.0
KIOSELCHK,,float64,numeric,15272,4.6989,2,1.0,2.0,"2.0, 1.0"
CATRIAGE,,float64,numeric,15053,6.0655,2,1.0,2.0,"2.0, 1.0"
